"Year","Fuel_Type","Region","Country","Consumption"
"2013","Gas","Europe and CIS","Poland",18
"2013","Gas","Europe and CIS","Portugal",4
"2013","Gas","Europe and CIS","Romania",13
"2013","Gas","Europe and CIS","Spain",30
"2013","Gas","Europe and CIS","Sweden",1
"2013","Gas","Europe and CIS","United Kingdom",78
"2013","Gas","Europe and CIS","Norway",6
"2013","Gas","Europe and CIS","Turkey",46
"2013","Gas","Europe and CIS","Kazakhstan",27
"2013","Gas","Europe and CIS","Russia",466
"2013","Gas","Europe and CIS","Ukraine",49
"2013","Gas","Europe and CIS","Uzbekistan",46
"2013","Gas","North America","Canada",112
"2013","Gas","North America","United States",739
"2013","Gas","South and Central America","Argentina",50
"2013","Gas","South and Central America","Brazil",38
"2013","Gas","South and Central America","Chile",5
"2013","Gas","South and Central America","Colombia",11
"2013","Gas","South and Central America","Mexico",70
"2013","Gas","South and Central America","Venezuela",24
"2013","Gas","Asia Pacific","China",167
"2013","Gas","Asia Pacific","India",52
"2013","Gas","Asia Pacific","Indonesia",42
"2013","Gas","Asia Pacific","Japan",128
"2013","Gas","Asia Pacific","Malaysia",45
"2013","Gas","Asia Pacific","South Korea",53
"2013","Gas","Asia Pacific","Taiwan",16
"2013","Gas","Asia Pacific","Thailand",48
"2013","Gas","Asia Pacific","Australia",38
"2013","Gas","Asia Pacific","New Zealand",5
"2013","Gas","Middle East and Africa","Algeria",35
"2013","Gas","Middle East and Africa","Egypt",46
"2013","Gas","Middle East and Africa","Nigeria",15
"2013","Gas","Middle East and Africa","South Africa",5
"2013","Gas","Middle East and Africa","Iran",153
"2013","Gas","Middle East and Africa","Kuwait",18
"2013","Gas","Middle East and Africa","Saudi Arabia",82
"2013","Gas","Middle East and Africa","United Arab Emirates",67
"2014","Gas","Europe and CIS","Belgium",16
"2014","Gas","Europe and CIS","Czech Rep.",8
"2014","Gas","Europe and CIS","France",38
"2014","Gas","Europe and CIS","Germany",79
"2014","Gas","Europe and CIS","Italy",62
"2014","Gas","Europe and CIS","Netherlands",40
